 ,Post Example,Match Keys,Formal Name,Is OTV project?,Notes
ANO,Kiam Marcelo Junio -- The Artists of Nupita Obama,Kiam Marcelo Junio,Nupita Obama Artists,,There will be two other videos for Erik Wallace and Saya Naomi
AP,,The Algebra Project,The Algebra Project,FALSE,
AS,Afternoon Snatch -- Episode 1,Afternoon Snatch,Afternoon Snatch,,
AV,Open TV Presents - ambivert by ester alegria,Ambivert,Ambivert,,
BF,"
",Brave Futures,Brave Futures,,Note this will include around 12 separate short films
B,BRUJOS -- Episode 2 -- Taurus,BRUJOS,BRUJOS,,
BCT,Bronx Cunt Tour -- Episode 5,Bronx Cunt Tour,Bronx Cunt Tour,,
BG,Brown Girls -- Episode 1,Brown Girls,Brown Girls,,
BM,Black Melodies - Sam Trump,Black Melodies,Black Melodies,,OTV Community
BNB,,Brand New Boy,Brand New Boy,,
BOR,Border'd - Pilot,Border'd,Border'd,,
BSF,BSAYF by Roy Kinsey,BSAYF by Roy Kinsey,BSAYF by Roy Kinsey,,
BTH,Been T/Here: In the Knowing of Me,Been T/Here,Been T/Here,,
CS,Code-Switched - Official Trailer,Code,Code,,
CT,Conspiracy Theorist,Conspiracy Theorist,Conspiracy Theorist,,
DG,Damaged Goods - Episode 1,Damaged Goods,Damaged Goods,,
DS,Darling Shear Ep 1,Darling Shear,Darling Shear,,
FB,,For Better,For Better,,
FF,Open TV Re-Presents: Filipino Fusions -- Season 1,Filipino Fusions,Filipino Fusions,,
FM,FAME: Kade Style (Anniversary Cut!),FAME,FAME,FALSE,
FO,Full Out -- Episode 1,Full Out,Full Out,,
FOB,FOBia - Pilot,FOBia,FOBia,,
FP,,Freaky Phyllis,Freaky Phyllis,,
FR,Open TV Presents - The Furies Episode 1 - Gemma,The Furies,The Furies,,
FS,,F*ck Stan,F*ck Stan,,
FW,"Futurewomen, The Origins -- Episode 1",Futurewomen,Futurewomen,,
FY,F*ck Yes -- Fingers,F*ck Yes,F*ck Yes,,
GB,,"Granny Ballers
","Granny Ballers
",,
HAV,,The Haven,The Haven,,
HD,,The Hoodoisie,The Hoodoisie,,
HU,,Hook-Ups,Hook-Ups,,
ILM,,i - LOVE// ME,i - LOVE// ME,,
GE,GOOD ENOUGH SEASON ONE _OFFICIAL TRAILER,GOOD ENOUGH,GOOD ENOUGH,,
OTV,OTV | Open Television Super Trailer 2017-2018,Open TV | OTV | Open Television,Open TV,,"
"
GGMO,Geeta's Guide To Moving On -- Episode 1,Geeta's Guide To Moving On,Geeta's Guide To Moving On,,
HD,The Hoodosie - Episode 9,The Hoodosie,The Hoodosie,,
HS,HAIR STORY (Pilot Concept),HAIR STORY,HAIR STORY,,
HU,Hook Ups - Episode 1,Hook Ups,Hook Ups,,
IGU,It Goes Unsaid,It Goes Unsaid,It Goes Unsaid,FALSE,
IN,Open TV Presents - Inertia,Inertia,Inertia,,
IRL,In Real Life - Erin,In Real Life,In Real Life,,
JCMR,,Just Call Me Ripley,Just Call Me Ripley,,
KI,Kickin’ It w/ KK + Eli: Vignette #2,Kickin' It,Kickin' It,FALSE,
"KQ
",,Kings and Queens,Kings and Queens,,
KW,Open TV Re-Presents: Kissing Walls -- Pilot,"Kissing Walls
","Kissing Walls
",,
LC,Open TV Presents: Lipstick City by Shea Couleé,Lipstick City,Lipstick City,,
LGLG,Open TV Presents: Let Go and Let God,Let Go and Let God,Let Go and Let God,,
LS,"Low Strung S. 1, Ep. 1 #ShervDay",Low Strung,Low Strung,,
MAD,,Michaela Angela Davis,Michaela Angela Davis,FALSE,
MM,Movement Matters - Trailer,Movement Matters,Movement Matters,,OTV Community
MSMF,Open TV Re-Presents: Melody Set Me Free Seasons 1-3,Melody Set Me Free,Melody Set Me Free,,
NN,"
",Night Night,Night Night,,
NOCV,Open TV Presents: Nupita Obama Creates Vogua,Nupita Obama Creates Vogua,Nupita Obama Creates Vogua,,
OT,Open TV Re-Presents: Outtakes -- Seasons 1-2,Outtakes,Outtakes,,
OV,On The Verge -- By Paige Cunningham Caldarella & Jessica King,On The Verge,On The Verge,,OTV Community
P4L,,"PrEP4Love | P4L | Dr. Every Woman | One Little Pill
","PrEP4Love
",,
PB,,Project Basho,Project Basho,FALSE,
PD,,Pay Day,Pay Day,FALSE,
PR,Open Television Tonight on Fox Good Day Chicago,Public Relations,Public Relations,FALSE,
PVP,Philadelphia Voices of Pride,Philadelphia Voices of Pride,Philadelphia Voices of Pride,FALSE,
QL,Quare Life,Quare Life,Quare Life,,
QTA,Queer The Air - Pilot - Keon,Queer The Air,Queer The Air,,
RIC,The Roach Is Coming by Derrick Woods-Morrow,The Roach Is Coming,The Roach Is Coming,,
RN,,Renee,Renee,,
RNGE,Open TV Presents - Reality Is Not Good Enough,Reality Is Not Good Enough,Reality Is Not Good Enough,,
SA,Starving Artists -- Episode 1,Starving Artists,Starving Artists,,
SDS,SEEDS -- Episode #1.1 We're All Hoes,SEEDS,SEEDS,,
SFI,,Searching For Isabelle,Searching For Isabelle,,
SG,,"Stargayzer
","Stargayzer
",FALSE,
SH,/Shift/ -- A Fundraiser for Honey Pot Performance,/Shift/,/Shift/,,OTV Community
SLN,Sur La Nuit with Alexa Grae,Sur La Nuit with Alexa Grae,Sur La Nuit with Alexa Grae,,
SFP,Open TV Presents: Southern for Pussy,Southern For Pussy,Southern For Pussy,,
SYM,Symbiotic Episode 1,Symbiotic,Symbiotic,,
TEX,The Exquisite Corpse,The Exquisite Corpse,The Exquisite Corpse,,
TNP,OTV Re-Presents - The North Pole,The North Pole,The North Pole,,
TQIK,"Two Queens in a Kitchen, Season 2 -- Rashaad & Nathaniel",Two Queens in a Kitchen | 2QIK,Two Queens in a Kitchen,,
TR,Open TV Presents - Triggers by Kai M. Green,Triggers,Triggers,,
TRS,The Right Swipe - Pilot,The Right Swipe,The Right Swipe,,
TT,the T - Episode 1,the T,the T,,
UE,"
",Uneverything,Uneverything,,
USA,,United States of Aliens,United States of Aliens,,
VT,VELVET - Episode 1,VELVET,VELVET,,
YMA,Yogma -- Episode 1,Yogma,Yogma,,
YSK,You Should Know This By Now -- VINCENT RODRIGUEZ,You Should Know This By Now,You Should Know This By Now,,
YST,"You're So Talented, Season Two - Chapter Three",You're So Talented,You're So Talented,,
ADP,A Day at the Plant,A Day at the Plant,A Day at the Plant,FALSE,
COH,Culture of Health Video Application_Elijah McKinnon_2019,Culture of Health,Culture of Health,FALSE,
CHT,Introducing the Chicago Home Theater Festival 2015,Chicago Home Theater Festival,Chicago Home Theater Festival,,OTV Community
DA,Derek and Aymar,Derek and Aymar,Derek and Aymar,FALSE,
FQC,"Femme Queen Chronicles - Episode One, The Clock",Femme Queen Chronicles,Femme Queen Chronicles,,
GG,Greed is Good: Kade vs. Douglas,Greed is Good,Greed is Good,FALSE,
IMR,Is Premiere Week an 'Event'? In Media Res,In Media Res,In Media Res,FALSE,
LVA,LEE's Video Art,LEE's Video Art,LEE's Video Art,FALSE,
MST,Military Sexual Trauma,Military Sexual Trauma,Military Sexual Trauma,FALSE,
MT,MEET - Episode Three - JORDAN 10AM,Meet,Meet,FALSE,
RP,Reunion Photos,Reunion Photos,Reunion Photos,FALSE,
RPDR,Saya Naomi RPDR season 10 audition,RDPR,Rupaul's Drag Race,FALSE,
PLM,"Caroline Weber on Daphne Guinness, Marie Antoinette and the Peril of the Living Mannequin",Peril of the Living Mannequin,Peril of the Living Mannequin,FALSE,
SGT,Sex Is A God Thing,Sex Is A God Thing,Sex Is A God Thing,,
SSS,"Senegal: Sights, Sounds and Struggles","Senegal: Sights, Sounds and Struggles","Senegal: Sights, Sounds and Struggles",FALSE,
THN,THANDO - ROUGH CUT_V1,Thando,Thando,,
TRN,Spike Lee with Talk Radio News,Talk Radio News,Talk Radio News,FALSE,
UC,Scenes from the urban catwalk,Scenes from the urban catwalk,Urban Catwalk,FALSE,
VK,vogua kiam,vogua kiam,Vogua Kiam,,
WITM,Why Intersectional TV Matters and How Artists Can Break In,Why Intersectional TV Matters and How Artists Can Break In,Why Intersectional TV Matters and How Artists Can Break In,,
FV,freestylin vogua with effects and high data rate,freestylin vogua,Freestylin Vogua,FALSE,
PLQ,Phillip Lambert at Queer Ill & Okay,Phillip Lambert at Queer Ill & Okay,Phillip Lambert at Queer Ill & Okay,FALSE,
AIA,Aliens in America,Aliens in America,Aliens in America,,
CRS,CRAFT SERVICE_FINAL ROUGH,Craft Service,Craft Service,,